frame,x,y,visible
744,1453,647,True
745,1443,632,True
746,1405,598,True
747,1409,621,True
748,1374,596,True
749,1394,678,True
750,1363,652,True
751,1361,657,True
752,1331,582,True
753,1331,584,True
754,1083,666,True
755,835,747,True
756,854,820,True
757,1119,777,True
758,1113,771,True
759,1114,754,True
760,1114,767,True
761,1385,738,True
762,1389,720,True
763,1385,662,True
764,1380,609,True
765,1352,600,True
766,1327,634,True
767,1300,663,False
768,1300,663,False
769,1300,663,False
770,1062,708,True
771,816,745,True
772,583,797,True
773,603,820,False
774,603,820,False
775,849,707,True
776,1119,638,True
777,1381,564,True
778,1134,636,True
779,842,672,True
780,571,716,True
781,520,700,True
782,809,661,True
783,761,649,True
784,434,690,False
785,434,690,False
786,1057,606,True
787,731,637,True
788,717,626,True
789,391,655,True
790,384,646,True
791,377,637,True
792,370,631,True
793,365,625,True
794,381,657,True
795,377,651,True
796,371,646,True
797,343,603,True
798,336,598,True
799,638,539,True
800,942,480,True
801,1247,423,True
802,938,456,True
803,914,348,True
804,899,241,True
805,898,235,True
806,612,385,True
807,326,516,True
808,338,508,True
809,353,485,True
810,350,477,True
811,660,471,True
812,648,485,True
813,967,484,True
814,648,497,True
815,649,488,True
816,652,489,True
817,1299,472,False
818,666,466,True
819,371,430,False
820,673,458,True
821,358,459,True
822,397,494,True
823,489,535,False
824,489,535,False
825,489,535,False
826,489,535,False
827,489,535,False
828,489,535,False
829,489,535,False
830,489,535,False
831,674,369,True
832,950,244,True
833,1181,99,True
834,1187,100,True
835,1190,100,True
836,1198,101,True
837,1204,101,True
838,1213,100,True
839,1218,99,False
840,1218,99,False
841,1218,99,False
842,1212,100,True
843,1210,101,True
844,1208,102,False
845,1208,102,False
846,1208,102,False
847,1208,102,False
848,1208,102,False
849,1208,102,False
850,1208,102,False
851,1151,97,True
852,1043,89,False
853,1087,97,True
854,1011,100,False
855,1011,100,False
856,1011,100,False
857,1011,100,False
858,1296,87,True
859,1835,72,False
860,1200,205,True
861,756,443,False
862,1129,268,True
863,798,290,False
864,776,353,True
865,793,302,True
866,802,297,True
867,821,311,True
868,982,358,True
869,1137,412,True
870,1292,435,True
871,1296,436,False
872,1296,436,False
873,1117,513,True
874,1119,515,True
875,936,606,True
876,929,621,True
877,745,714,True
878,922,625,True
879,1099,534,True
880,1273,440,True
881,1094,533,True
882,890,572,True
883,681,670,True
884,647,677,True
885,632,688,True
886,728,477,True
887,756,463,True
888,765,512,True
889,663,671,True
890,634,627,True
891,661,591,True
892,699,606,True
893,732,619,False
894,691,595,True
895,655,559,True
896,618,525,False
897,618,525,False
898,744,386,True
899,1000,100,False
900,1000,100,False
901,1000,100,False
902,926,334,True
903,1100,284,True
904,1142,376,True
905,1127,377,True
906,1116,381,True
907,1107,386,False
908,1099,385,True
909,1083,388,True
910,939,412,True
911,939,417,True
912,941,423,True
913,1073,409,True
914,1074,415,True
915,1074,421,True
916,1077,425,True
917,1079,429,True
918,1081,433,True
919,1082,437,True
920,967,392,True
921,736,298,False
922,736,298,False
923,736,298,False
924,736,298,False
925,736,298,False
926,841,415,True
927,704,506,False
928,717,442,True
929,712,523,False
930,712,523,False
931,658,689,True
932,610,878,True
933,563,1053,True
934,565,1042,True
935,563,1008,False
936,563,1008,False
937,563,1008,False
938,560,971,True
939,552,898,True
940,547,825,False
941,548,815,True
942,552,770,True
943,555,729,True
944,558,712,True
945,558,692,True
946,557,676,True
947,554,657,True
948,553,672,True
949,550,664,True
950,550,656,True
951,545,630,True
952,548,630,True
953,747,565,True
954,950,498,True
955,1150,431,True
956,953,499,True
957,756,597,True
958,559,669,True
959,562,674,True
960,567,654,True
961,572,663,True
962,578,673,True
963,584,683,True
964,781,587,True
965,760,604,True
966,759,597,True
967,564,691,True
968,782,573,True
969,979,475,True
970,957,496,True
971,957,494,True
972,957,491,True
973,1178,372,True
974,1175,371,True
975,1172,370,True
976,1169,368,True
977,1169,366,True
978,1175,364,True
979,969,424,True
980,766,479,True
981,545,534,True
982,519,595,True
983,497,669,True
984,483,668,True
985,485,527,False
986,485,527,False
987,485,527,False
988,720,543,True
989,950,407,True
990,1184,345,True
991,1186,341,False
992,1187,342,True
993,1189,341,True
994,1191,342,True
995,1193,343,True
996,1195,344,True
997,1192,341,True
998,983,486,True
999,980,482,True
1000,783,633,True
1001,674,433,True
1002,357,381,True
1003,238,178,True
1004,355,389,True
1005,474,602,True
1006,481,599,True
1007,255,169,False
1008,255,169,False
1009,255,169,False
1010,255,169,False
1011,255,169,False
1012,255,169,False
1013,255,169,False
1014,698,464,True
